
========== KATEGORİ: Actor Parts ==========
UI İsmi: Eyeball Iris Flatten  |  Kod ID: 2018-07-18-15-33-30_eyeball iris flatten  |  Range: [1.0, 0.0]
UI İsmi: 09_Inner_Corner_Depth_L  |  Kod ID: 2022-02-02-14-27-48_09_inner_corner_depth_l  |  Range: [1.0, 0.0]
UI İsmi: 09_L_Loose  |  Kod ID: 2022-01-31-11-09-13_09_l_loose  |  Range: [1.0, 0.0]
UI İsmi: 09_Lower_Inner_Height  |  Kod ID: 2022-02-02-11-40-51_09_lower_inner_height  |  Range: [1.0, 0.0]
UI İsmi: 09_Lower_Width_R  |  Kod ID: 2022-02-02-12-03-37_09_lower_width_r  |  Range: [1.0, 0.0]
UI İsmi: 09_Nostril_Raise_L_Dilate  |  Kod ID: 2022-01-25-10-07-07_09_nostril_raise_l_dilate  |  Range: [1.0, 0.0]
UI İsmi: 09_Outer_Crease_L  |  Kod ID: 2022-02-02-14-01-45_09_outer_crease_l  |  Range: [1.0, 0.0]
UI İsmi: 09_Outer_L_Compress  |  Kod ID: 2022-01-25-09-10-13_09_outer_l_compress  |  Range: [1.0, 0.0]
UI İsmi: 09_Pucker_Up  |  Kod ID: 2022-01-25-16-43-21_09_pucker_up  |  Range: [1.0, 0.0]
UI İsmi: 09_Puff_L_High  |  Kod ID: 2022-01-25-10-59-48_09_puff_l_high  |  Range: [1.0, 0.0]
UI İsmi: 09_Shrug_Upper_Tight  |  Kod ID: 2022-01-31-12-56-31_09_shrug_upper_tight  |  Range: [1.0, 0.0]
UI İsmi: 09_Smile_L_Dimple  |  Kod ID: 2022-01-25-12-00-24_09_smile_l_dimple  |  Range: [1.0, 0.0]
UI İsmi: 09_Up_Over  |  Kod ID: 2022-02-02-09-15-44_09_up_over  |  Range: [1.0, 0.0]
UI İsmi: 09_Up_Upper_L_Tight  |  Kod ID: 2022-01-31-14-12-48_09_up_upper_l_tight  |  Range: [1.0, 0.0]
UI İsmi: 09_Wide_L_Squint  |  Kod ID: 2022-01-25-09-35-21_09_wide_l_squint  |  Range: [1.0, 0.0]
UI İsmi: 10_Angle  |  Kod ID: 2022-02-02-11-41-33_10_angle  |  Range: [1.0, 0.0]
UI İsmi: 10_Angle_R  |  Kod ID: 2022-02-02-13-32-37_10_angle_r  |  Range: [1.0, 0.0]
UI İsmi: 10_Corner_Depth_R  |  Kod ID: 2022-02-02-13-14-08_10_corner_depth_r  |  Range: [1.0, 0.0]
UI İsmi: 10_Dimple_R_Down  |  Kod ID: 2022-01-25-12-41-48_10_dimple_r_down  |  Range: [1.0, 0.0]
UI İsmi: 10_Down_R_Out  |  Kod ID: 2022-01-25-09-47-21_10_down_r_out  |  Range: [1.0, 0.0]
UI İsmi: 10_Frown_R_Dimple  |  Kod ID: 2022-01-25-12-25-42_10_frown_r_dimple  |  Range: [1.0, 0.0]
UI İsmi: 10_Funnel_Up  |  Kod ID: 2022-01-25-17-53-57_10_funnel_up  |  Range: [1.0, 0.0]
UI İsmi: 10_Inner_Corner_Depth_R  |  Kod ID: 2022-02-02-14-28-20_10_inner_corner_depth_r  |  Range: [1.0, 0.0]
UI İsmi: 10_Nostril_Raise_R_Dilate  |  Kod ID: 2022-01-25-10-07-35_10_nostril_raise_r_dilate  |  Range: [1.0, 0.0]
UI İsmi: 10_Offset  |  Kod ID: 2022-02-02-12-04-55_10_offset  |  Range: [1.0, 0.0]
UI İsmi: 10_Outer_Crease_R  |  Kod ID: 2022-02-02-14-02-11_10_outer_crease_r  |  Range: [1.0, 0.0]
UI İsmi: 10_Outer_R_Compress  |  Kod ID: 2022-01-25-09-10-41_10_outer_r_compress  |  Range: [1.0, 0.0]
UI İsmi: 10_Pucker_Down  |  Kod ID: 2022-01-25-16-43-56_10_pucker_down  |  Range: [1.0, 0.0]
UI İsmi: 10_Puff_R_High  |  Kod ID: 2022-01-25-11-00-14_10_puff_r_high  |  Range: [1.0, 0.0]
UI İsmi: 10_R_Loose  |  Kod ID: 2022-01-31-11-09-39_10_r_loose  |  Range: [1.0, 0.0]
UI İsmi: 10_Shrug_Upper_Loose  |  Kod ID: 2022-01-31-12-57-26_10_shrug_upper_loose  |  Range: [1.0, 0.0]
UI İsmi: 10_Smile_R_Dimple  |  Kod ID: 2022-01-25-12-00-56_10_smile_r_dimple  |  Range: [1.0, 0.0]
UI İsmi: 10_Up_Under  |  Kod ID: 2022-02-02-09-17-18_10_up_under  |  Range: [1.0, 0.0]
UI İsmi: 10_Up_Upper_R_Tight  |  Kod ID: 2022-01-31-14-13-23_10_up_upper_r_tight  |  Range: [1.0, 0.0]
UI İsmi: 10_Wide_R_Squint  |  Kod ID: 2022-01-25-09-35-44_10_wide_r_squint  |  Range: [1.0, 0.0]
UI İsmi: 11_Curve_L  |  Kod ID: 2022-02-02-13-32-59_11_curve_l  |  Range: [1.0, 0.0]
UI İsmi: 11_Down_L_In  |  Kod ID: 2022-01-25-09-47-59_11_down_l_in  |  Range: [1.0, 0.0]
UI İsmi: 11_Down_Lower_L_Tight  |  Kod ID: 2022-01-31-14-14-38_11_down_lower_l_tight  |  Range: [1.0, 0.0]
UI İsmi: 11_Down_Over  |  Kod ID: 2022-02-02-09-18-41_11_down_over  |  Range: [1.0, 0.0]
UI İsmi: 11_Frown_L_Stretch  |  Kod ID: 2022-01-25-12-27-10_11_frown_l_stretch  |  Range: [1.0, 0.0]
UI İsmi: 11_Funnel_Down  |  Kod ID: 2022-01-25-17-54-28_11_funnel_down  |  Range: [1.0, 0.0]
UI İsmi: 11_L_Upper_L  |  Kod ID: 2022-01-31-11-20-59_11_l_upper_l  |  Range: [1.0, 0.0]
UI İsmi: 11_Nostril_Raise_L_Crease  |  Kod ID: 2022-01-25-10-08-39_11_nostril_raise_l_crease  |  Range: [1.0, 0.0]
UI İsmi: 11_Outer_Corner_Depth_L  |  Kod ID: 2022-02-02-14-28-50_11_outer_corner_depth_l  |  Range: [1.0, 0.0]
UI İsmi: 11_Outer_L_Drop  |  Kod ID: 2022-01-25-09-11-41_11_outer_l_drop  |  Range: [1.0, 0.0]
UI İsmi: 11_Over_Depth  |  Kod ID: 2022-02-02-13-14-32_11_over_depth  |  Range: [1.0, 0.0]
UI İsmi: 11_Pucker_L  |  Kod ID: 2022-02-02-09-24-58_11_pucker_l  |  Range: [1.0, 0.0]
UI İsmi: 11_Shrug_Lower_Tight  |  Kod ID: 2022-01-31-13-00-53_11_shrug_lower_tight  |  Range: [1.0, 0.0]
UI İsmi: 11_Smile_L_Stretch  |  Kod ID: 2022-01-25-12-04-28_11_smile_l_stretch  |  Range: [1.0, 0.0]
UI İsmi: 11_Wide_L_All  |  Kod ID: 2022-01-25-09-37-40_11_wide_l_all  |  Range: [1.0, 0.0]
UI İsmi: 12_Curve_R  |  Kod ID: 2022-02-02-13-33-19_12_curve_r  |  Range: [1.0, 0.0]
UI İsmi: 12_Down_Lower_R_Tight  |  Kod ID: 2022-01-31-14-15-10_12_down_lower_r_tight  |  Range: [1.0, 0.0]
UI İsmi: 12_Down_R_In  |  Kod ID: 2022-01-25-09-48-21_12_down_r_in  |  Range: [1.0, 0.0]
UI İsmi: 12_Down_Under  |  Kod ID: 2022-02-02-09-19-28_12_down_under  |  Range: [1.0, 0.0]
UI İsmi: 12_Frown_R_Stretch  |  Kod ID: 2022-01-25-12-27-52_12_frown_r_stretch  |  Range: [1.0, 0.0]
UI İsmi: 12_Funnel_L  |  Kod ID: 2022-02-02-09-26-36_12_funnel_l  |  Range: [1.0, 0.0]
UI İsmi: 12_L_Lower_L  |  Kod ID: 2022-01-31-11-21-51_12_l_lower_l  |  Range: [1.0, 0.0]
UI İsmi: 12_Nostril_Raise_R_Crease  |  Kod ID: 2022-01-25-10-09-06_12_nostril_raise_r_crease  |  Range: [1.0, 0.0]
UI İsmi: 12_Outer_Corner_Depth_R  |  Kod ID: 2022-02-02-14-29-29_12_outer_corner_depth_r  |  Range: [1.0, 0.0]
UI İsmi: 12_Outer_R_Drop  |  Kod ID: 2022-01-25-09-12-04_12_outer_r_drop  |  Range: [1.0, 0.0]
UI İsmi: 12_Pucker_R  |  Kod ID: 2022-02-02-09-25-19_12_pucker_r  |  Range: [1.0, 0.0]
UI İsmi: 12_Shrug_Lower_Loose  |  Kod ID: 2022-01-31-13-02-05_12_shrug_lower_loose  |  Range: [1.0, 0.0]
UI İsmi: 12_Smile_R_Stretch  |  Kod ID: 2022-01-25-12-05-28_12_smile_r_stretch  |  Range: [1.0, 0.0]
UI İsmi: 12_Under_Depth  |  Kod ID: 2022-02-02-13-14-52_12_under_depth  |  Range: [1.0, 0.0]
UI İsmi: 12_Wide_R_All  |  Kod ID: 2022-01-25-09-38-41_12_wide_r_all  |  Range: [1.0, 0.0]
UI İsmi: 13_Close_L_Shut  |  Kod ID: 2022-01-25-09-40-48_13_close_l_shut  |  Range: [1.0, 0.0]
UI İsmi: 13_Drop_L_High  |  Kod ID: 2022-01-25-09-13-14_13_drop_l_high  |  Range: [1.0, 0.0]
UI İsmi: 13_Drop_Upper_High  |  Kod ID: 2022-01-31-13-42-08_13_drop_upper_high  |  Range: [1.0, 0.0]
UI İsmi: 13_Eyeball_Depth_L  |  Kod ID: 2022-02-02-14-30-07_13_eyeball_depth_l  |  Range: [1.0, 0.0]
UI İsmi: 13_Frown_L_Over  |  Kod ID: 2022-01-25-12-29-07_13_frown_l_over  |  Range: [1.0, 0.0]
UI İsmi: 13_Funnel_R  |  Kod ID: 2022-02-02-09-26-57_13_funnel_r  |  Range: [1.0, 0.0]
UI İsmi: 13_L_All  |  Kod ID: 2022-01-31-11-22-25_13_l_all  |  Range: [1.0, 0.0]
UI İsmi: 13_Nostril_Dilate_L_High  |  Kod ID: 2022-01-25-10-10-10_13_nostril_dilate_l_high  |  Range: [1.0, 0.0]
UI İsmi: 13_Out_L_High  |  Kod ID: 2022-01-25-09-49-10_13_out_l_high  |  Range: [1.0, 0.0]
UI İsmi: 13_Smile_L_Over  |  Kod ID: 2022-01-25-12-08-58_13_smile_l_over  |  Range: [1.0, 0.0]
UI İsmi: 13_Up_Upper_L_Loose  |  Kod ID: 2022-01-31-14-16-38_13_up_upper_l_loose  |  Range: [1.0, 0.0]
UI İsmi: 13_Upper_Inner_Depth  |  Kod ID: 2022-02-02-13-16-10_13_upper_inner_depth  |  Range: [1.0, 0.0]
UI İsmi: 14_Close_R_Shut  |  Kod ID: 2022-01-25-09-41-16_14_close_r_shut  |  Range: [1.0, 0.0]
UI İsmi: 14_Drop_Lower_High  |  Kod ID: 2022-01-31-13-42-33_14_drop_lower_high  |  Range: [1.0, 0.0]
UI İsmi: 14_Drop_R_High  |  Kod ID: 2022-01-25-09-13-46_14_drop_r_high  |  Range: [1.0, 0.0]
UI İsmi: 14_Eyeball_Depth_R  |  Kod ID: 2022-02-02-14-30-35_14_eyeball_depth_r  |  Range: [1.0, 0.0]
UI İsmi: 14_Frown_R_Over  |  Kod ID: 2022-01-25-12-30-13_14_frown_r_over  |  Range: [1.0, 0.0]
UI İsmi: 14_Lower_Inner_Depth  |  Kod ID: 2022-02-02-13-16-41_14_lower_inner_depth  |  Range: [1.0, 0.0]
UI İsmi: 14_Nostril_Dilate_R_High  |  Kod ID: 2022-01-25-10-10-35_14_nostril_dilate_r_high  |  Range: [1.0, 0.0]
UI İsmi: 14_Out_R_High  |  Kod ID: 2022-01-25-09-49-33_14_out_r_high  |  Range: [1.0, 0.0]
UI İsmi: 14_R_Upper_R  |  Kod ID: 2022-01-31-11-22-53_14_r_upper_r  |  Range: [1.0, 0.0]
UI İsmi: 14_Smile_R_Over  |  Kod ID: 2022-01-25-12-09-58_14_smile_r_over  |  Range: [1.0, 0.0]
UI İsmi: 14_Up_Upper_R_Loose  |  Kod ID: 2022-01-31-14-17-09_14_up_upper_r_loose  |  Range: [1.0, 0.0]
UI İsmi: 15_Down_Lower_L_Loose  |  Kod ID: 2022-01-31-14-17-44_15_down_lower_r_loose  |  Range: [1.0, 0.0]
UI İsmi: 15_Drop_L_Inner  |  Kod ID: 2022-01-25-09-15-52_15_drop_l_inner  |  Range: [1.0, 0.0]
UI İsmi: 15_Drop_Upper_L  |  Kod ID: 2022-01-31-13-43-23_15_drop_upper_l  |  Range: [1.0, 0.0]
UI İsmi: 15_Frown_L_Under  |  Kod ID: 2022-01-25-12-31-30_15_frown_l_under  |  Range: [1.0, 0.0]
UI İsmi: 15_In_L  |  Kod ID: 2022-01-25-09-50-04_15_in_l  |  Range: [1.0, 0.0]
UI İsmi: 15_Nostril_Dilate_L_Crease  |  Kod ID: 2022-01-25-10-11-28_15_nostril_dilate_l_crease  |  Range: [1.0, 0.0]
UI İsmi: 15_R_Lower_R  |  Kod ID: 2022-01-31-11-23-23_15_r_lower_r  |  Range: [1.0, 0.0]
UI İsmi: 15_Smile_L_Under  |  Kod ID: 2022-01-25-12-11-18_15_smile_l_under  |  Range: [1.0, 0.0]
UI İsmi: 16_Down_Lower_R_Loose  |  Kod ID: 2022-01-31-14-18-20_16_down_lower_r_loose  |  Range: [1.0, 0.0]
UI İsmi: 16_Drop_R_Inner  |  Kod ID: 2022-01-25-09-16-28_16_drop_r_inner  |  Range: [1.0, 0.0]
UI İsmi: 16_Drop_Upper_R  |  Kod ID: 2022-01-31-13-43-53_16_drop_upper_r  |  Range: [1.0, 0.0]
UI İsmi: 16_Frown_R_Under  |  Kod ID: 2022-01-25-12-32-06_16_frown_r_under  |  Range: [1.0, 0.0]
UI İsmi: 16_In_R  |  Kod ID: 2022-01-25-09-50-31_16_in_r  |  Range: [1.0, 0.0]
UI İsmi: 16_Nostril_Dilate_R_Crease  |  Kod ID: 2022-01-25-10-12-11_16_nostril_dilate_r_crease  |  Range: [1.0, 0.0]
UI İsmi: 16_R_All  |  Kod ID: 2022-01-31-11-23-47_16_r_all  |  Range: [1.0, 0.0]
UI İsmi: 16_Smile_R_Under  |  Kod ID: 2022-01-25-12-12-08_16_smile_r_under  |  Range: [1.0, 0.0]
UI İsmi: 17_Drop_L_Outer  |  Kod ID: 2022-01-25-09-16-59_17_drop_l_outer  |  Range: [1.0, 0.0]
UI İsmi: 17_Drop_Lower_L  |  Kod ID: 2022-01-31-13-44-24_17_drop_lower_l  |  Range: [1.0, 0.0]
UI İsmi: 17_L_Over  |  Kod ID: 2022-02-02-09-21-05_17_l_over  |  Range: [1.0, 0.0]
UI İsmi: 17_Nostril_Crease_L_High  |  Kod ID: 2022-01-25-10-13-16_17_nostril_crease_l_high  |  Range: [1.0, 0.0]
UI İsmi: 18_Drop_Lower_R  |  Kod ID: 2022-01-31-13-44-46_18_drop_lower_r  |  Range: [1.0, 0.0]
UI İsmi: 18_Drop_R_Outer  |  Kod ID: 2022-01-25-09-17-31_18_drop_r_outer  |  Range: [1.0, 0.0]
UI İsmi: 18_Nostril_Crease_R_High  |  Kod ID: 2022-01-25-10-13-48_18_nostril_crease_r_high  |  Range: [1.0, 0.0]
UI İsmi: 18_R_Over  |  Kod ID: 2022-02-02-09-21-38_18_r_over  |  Range: [1.0, 0.0]
UI İsmi: 19_Drop_L_Compress  |  Kod ID: 2022-01-25-09-18-22_19_drop_l_compress  |  Range: [1.0, 0.0]
UI İsmi: 19_Drop_Upper_All  |  Kod ID: 2022-01-31-13-46-19_19_drop_upper_all  |  Range: [1.0, 0.0]
UI İsmi: 19_L_Under  |  Kod ID: 2022-02-02-09-22-15_19_l_under  |  Range: [1.0, 0.0]
UI İsmi: 19_Nostril_Crease_L_Raise  |  Kod ID: 2022-01-25-10-14-33_19_nostril_crease_l_raise  |  Range: [1.0, 0.0]
UI İsmi: 20_Drop_Lower_All  |  Kod ID: 2022-01-31-13-47-42_20_drop_lower_all  |  Range: [1.0, 0.0]
UI İsmi: 20_Drop_R_Compress  |  Kod ID: 2022-01-25-09-18-55_20_drop_r_compress  |  Range: [1.0, 0.0]
UI İsmi: 20_Nostril_Crease_R_Raise  |  Kod ID: 2022-01-25-10-15-01_20_nostril_crease_r_raise  |  Range: [1.0, 0.0]
UI İsmi: 20_R_Under  |  Kod ID: 2022-02-02-09-22-49_20_r_under  |  Range: [1.0, 0.0]
UI İsmi: 21_Compress_L_High  |  Kod ID: 2022-01-25-09-19-31_21_compress_l_high  |  Range: [1.0, 0.0]
UI İsmi: 21_Drop_Upper_Tight  |  Kod ID: 2022-01-31-13-49-24_21_drop_upper_tight  |  Range: [1.0, 0.0]
UI İsmi: 22_Compress_R_High  |  Kod ID: 2022-01-25-09-20-04_22_compress_r_high  |  Range: [1.0, 0.0]
UI İsmi: 22_Drop_Upper_Loose  |  Kod ID: 2022-01-31-13-50-09_22_drop_upper_loose  |  Range: [1.0, 0.0]
UI İsmi: 23_Compress_L_Inner  |  Kod ID: 2022-01-25-09-21-29_23_compress_l_inner  |  Range: [1.0, 0.0]
UI İsmi: 23_Drop_Lower_Tight  |  Kod ID: 2022-01-31-13-52-02_23_drop_lower_tight  |  Range: [1.0, 0.0]
UI İsmi: 24_Compress_R_Inner  |  Kod ID: 2022-01-25-09-21-56_24_compress_r_inner  |  Range: [1.0, 0.0]
UI İsmi: 24_Drop_Lower_Loose  |  Kod ID: 2022-01-31-13-52-51_24_drop_lower_loose  |  Range: [1.0, 0.0]
UI İsmi: 25_Compress_L_Outer  |  Kod ID: 2022-01-25-09-22-30_25_compress_l_outer  |  Range: [1.0, 0.0]
UI İsmi: 26_Compress_R_Outer  |  Kod ID: 2022-01-25-09-22-53_26_compress_r_outer  |  Range: [1.0, 0.0]
UI İsmi: 27_Compress_L_Drop  |  Kod ID: 2022-01-25-09-23-45_27_compress_l_drop  |  Range: [1.0, 0.0]
UI İsmi: 28_Compress_R_Drop  |  Kod ID: 2022-01-25-09-24-17_28_compress_r_drop  |  Range: [1.0, 0.0]
UI İsmi: Alika_Head  |  Kod ID: 2022-05-06-11-12-32_alika_head  |  Range: [1.0, 0.0]
UI İsmi: CC4 Camila_Head  |  Kod ID: 2022-05-04-11-07-44_cc4 camila_head  |  Range: [1.0, 0.0]
UI İsmi: CC4 Kevin_Head  |  Kod ID: 2022-05-09-17-57-41_cc4 kevin_head  |  Range: [1.0, 0.0]
UI İsmi: Eddy_Head  |  Kod ID: 2022-05-06-11-00-20_eddy_head  |  Range: [1.0, 0.0]
UI İsmi: Tongue Depth  |  Kod ID: 2018-07-18-15-24-25_tongue move out in  |  Range: [1.0, 0.0]
UI İsmi: Tongue Height  |  Kod ID: 2018-07-18-15-24-52_tongue move up down  |  Range: [1.0, 0.0]
UI İsmi: Tongue Offset  |  Kod ID: 2018-07-18-15-17-39_tongue lr  |  Range: [1.0, 0.0]
UI İsmi: Tongue Scale  |  Kod ID: 2018-07-18-15-17-10_tongue scale  |  Range: [1.0, 0.0]
UI İsmi: Tongue Scale Depth  |  Kod ID: 2018-07-18-15-23-19_tongue scale depth  |  Range: [1.0, 0.0]
UI İsmi: Tongue Scale Height  |  Kod ID: 2018-07-18-15-18-21_tongue scale height  |  Range: [1.0, 0.0]
UI İsmi: Tongue Scale Width  |  Kod ID: 2018-07-18-15-17-40_tongue scale width  |  Range: [1.0, 0.0]
UI İsmi: Toon Neutral Female  |  Kod ID: 2023-12-19-14-03-19_toon neutral female_head  |  Range: [1.0, 0.0]
UI İsmi: Toon Neutral Male  |  Kod ID: 2023-12-19-12-33-35_toon neutral male_head  |  Range: [1.0, 0.0]

========== KATEGORİ: Actor/Head/Ear ==========
UI İsmi: Ear Scale  |  Kod ID: cc embed morphs/embed_ear5  |  Range: [1.0, 0.0]
UI İsmi: Ear Scale Height  |  Kod ID: 2018-09-10-17-03-40_ear length  |  Range: [1.0, 0.0]
UI İsmi: Ear Height  |  Kod ID: cc embed morphs/embed_ear4  |  Range: [1.0, 0.0]
UI İsmi: Ear Angle Out  |  Kod ID: cc embed morphs/embed_ear2  |  Range: [1.0, 0.0]
UI İsmi: Ear Angle Top  |  Kod ID: 2018-09-10-16-46-50_ear angle top  |  Range: [1.0, 0.0]
UI İsmi: Ear Depth  |  Kod ID: cc embed morphs/embed_ear3  |  Range: [1.0, 0.0]
UI İsmi: Earlobe Define  |  Kod ID: cc embed morphs/embed_ear1  |  Range: [1.0, 0.0]
UI İsmi: Ear Contour  |  Kod ID: 2018-09-10-17-10-08_ear reshape  |  Range: [1.0, 0.0]

========== KATEGORİ: Actor/Head/Ear/General ==========
UI İsmi: Ear Scale  |  Kod ID: cc embed morphs/embed_ear5  |  Range: [1.0, 0.0]
UI İsmi: Ear Scale Height  |  Kod ID: 2018-09-10-17-03-40_ear length  |  Range: [1.0, 0.0]
UI İsmi: Ear Height  |  Kod ID: cc embed morphs/embed_ear4  |  Range: [1.0, 0.0]
UI İsmi: Ear Angle Out  |  Kod ID: cc embed morphs/embed_ear2  |  Range: [1.0, 0.0]
UI İsmi: Ear Angle Top  |  Kod ID: 2018-09-10-16-46-50_ear angle top  |  Range: [1.0, 0.0]
UI İsmi: Ear Depth  |  Kod ID: cc embed morphs/embed_ear3  |  Range: [1.0, 0.0]

========== KATEGORİ: Actor/Head/Ear/Detail ==========
UI İsmi: Earlobe Define  |  Kod ID: cc embed morphs/embed_ear1  |  Range: [1.0, 0.0]
UI İsmi: Ear Contour  |  Kod ID: 2018-09-10-17-10-08_ear reshape  |  Range: [1.0, 0.0]

========== KATEGORİ: Actor/Head/Brow ==========
UI İsmi: Brow Height  |  Kod ID: cc embed morphs/embed_brow2  |  Range: [1.0, -0.5]
UI İsmi: Brow Lower  |  Kod ID: cc embed morphs/embed_brow5  |  Range: [0.800000011920929, 0.0]
UI İsmi: Brow Center Width  |  Kod ID: cc embed morphs/embed_brow4  |  Range: [1.0, -0.699999988079071]
UI İsmi: Brow Depth  |  Kod ID: cc embed morphs/embed_brow1  |  Range: [1.0, -1.0]
UI İsmi: Brow Angle  |  Kod ID: cc embed morphs/embed_brow3  |  Range: [1.0, -0.699999988079071]

========== KATEGORİ: Actor/Head/Brow/General ==========
UI İsmi: Brow Height  |  Kod ID: cc embed morphs/embed_brow2  |  Range: [1.0, -0.5]
UI İsmi: Brow Lower  |  Kod ID: cc embed morphs/embed_brow5  |  Range: [0.800000011920929, 0.0]
UI İsmi: Brow Center Width  |  Kod ID: cc embed morphs/embed_brow4  |  Range: [1.0, -0.699999988079071]
UI İsmi: Brow Depth  |  Kod ID: cc embed morphs/embed_brow1  |  Range: [1.0, -1.0]
UI İsmi: Brow Angle  |  Kod ID: cc embed morphs/embed_brow3  |  Range: [1.0, -0.699999988079071]

========== KATEGORİ: Actor/Head/Mouth ==========
UI İsmi: Mouth  Scale  |  Kod ID: cc embed morphs/embed_mouth4  |  Range: [1.0, 0.0]
UI İsmi: Mouth Width  |  Kod ID: cc embed morphs/embed_mouth5  |  Range: [1.0, 0.0]
UI İsmi: Mouth Height  |  Kod ID: cc embed morphs/embed_mouth3  |  Range: [1.0, 0.0]
UI İsmi: Mouth Depth  |  Kod ID: cc embed morphs/embed_mouth2  |  Range: [1.0, 0.0]
UI İsmi: Philtrum Width  |  Kod ID: cc embed morphs/embed_mouth6  |  Range: [1.0, 0.0]
UI İsmi: Philtrum Tone  |  Kod ID: cc embed morphs/embed_mouth7  |  Range: [1.0, 0.0]
UI İsmi: Lip Thin A  |  Kod ID: cc embed morphs/embed_mouth1  |  Range: [1.0, 0.0]
UI İsmi: Teeth Upper Scale  |  Kod ID: cc embed morphs/embed_cavity16  |  Range: [1.0, 0.0]
UI İsmi: Teeth Lower Scale  |  Kod ID: cc embed morphs/embed_cavity8  |  Range: [1.0, 0.0]
UI İsmi: Teeth Upper Height  |  Kod ID: cc embed morphs/embed_cavity12  |  Range: [1.0, 0.0]
UI İsmi: Teeth Lower Height  |  Kod ID: cc embed morphs/embed_cavity4  |  Range: [1.0, 0.0]
UI İsmi: Teeth Upper Scale Height  |  Kod ID: cc embed morphs/embed_cavity13  |  Range: [1.0, 0.0]
UI İsmi: Teeth Lower Scale Height  |  Kod ID: cc embed morphs/embed_cavity5  |  Range: [1.0, 0.0]
UI İsmi: Teeth Upper Scale Width  |  Kod ID: cc embed morphs/embed_cavity14  |  Range: [1.0, 0.0]
UI İsmi: Teeth Lower Scale Width  |  Kod ID: cc embed morphs/embed_cavity6  |  Range: [1.0, 0.0]
UI İsmi: Teeth Upper Depth  |  Kod ID: cc embed morphs/embed_cavity10  |  Range: [1.0, 0.0]
UI İsmi: Teeth Lower Depth  |  Kod ID: cc embed morphs/embed_cavity2  |  Range: [1.0, 0.0]
UI İsmi: Teeth Upper Scale Depth  |  Kod ID: cc embed morphs/embed_cavity15  |  Range: [1.0, 0.0]
UI İsmi: Teeth Lower Scale Depth  |  Kod ID: cc embed morphs/embed_cavity7  |  Range: [1.0, 0.0]
UI İsmi: Teeth Upper Offset  |  Kod ID: cc embed morphs/embed_cavity11  |  Range: [1.0, 0.0]
UI İsmi: Teeth Lower Offset  |  Kod ID: cc embed morphs/embed_cavity3  |  Range: [1.0, 0.0]

========== KATEGORİ: Actor/Head/Mouth/Teeth ==========
UI İsmi: Teeth Upper Scale  |  Kod ID: cc embed morphs/embed_cavity16  |  Range: [1.0, 0.0]
UI İsmi: Teeth Lower Scale  |  Kod ID: cc embed morphs/embed_cavity8  |  Range: [1.0, 0.0]
UI İsmi: Teeth Upper Height  |  Kod ID: cc embed morphs/embed_cavity12  |  Range: [1.0, 0.0]
UI İsmi: Teeth Lower Height  |  Kod ID: cc embed morphs/embed_cavity4  |  Range: [1.0, 0.0]
UI İsmi: Teeth Upper Scale Height  |  Kod ID: cc embed morphs/embed_cavity13  |  Range: [1.0, 0.0]
UI İsmi: Teeth Lower Scale Height  |  Kod ID: cc embed morphs/embed_cavity5  |  Range: [1.0, 0.0]
UI İsmi: Teeth Upper Scale Width  |  Kod ID: cc embed morphs/embed_cavity14  |  Range: [1.0, 0.0]
UI İsmi: Teeth Lower Scale Width  |  Kod ID: cc embed morphs/embed_cavity6  |  Range: [1.0, 0.0]
UI İsmi: Teeth Upper Depth  |  Kod ID: cc embed morphs/embed_cavity10  |  Range: [1.0, 0.0]
UI İsmi: Teeth Lower Depth  |  Kod ID: cc embed morphs/embed_cavity2  |  Range: [1.0, 0.0]
UI İsmi: Teeth Upper Scale Depth  |  Kod ID: cc embed morphs/embed_cavity15  |  Range: [1.0, 0.0]
UI İsmi: Teeth Lower Scale Depth  |  Kod ID: cc embed morphs/embed_cavity7  |  Range: [1.0, 0.0]
UI İsmi: Teeth Upper Offset  |  Kod ID: cc embed morphs/embed_cavity11  |  Range: [1.0, 0.0]
UI İsmi: Teeth Lower Offset  |  Kod ID: cc embed morphs/embed_cavity3  |  Range: [1.0, 0.0]

========== KATEGORİ: Actor/Head/Mouth/Lip ==========
UI İsmi: Lip Thin A  |  Kod ID: cc embed morphs/embed_mouth1  |  Range: [1.0, 0.0]

========== KATEGORİ: Actor/Head/Mouth/General ==========
UI İsmi: Mouth  Scale  |  Kod ID: cc embed morphs/embed_mouth4  |  Range: [1.0, 0.0]
UI İsmi: Mouth Width  |  Kod ID: cc embed morphs/embed_mouth5  |  Range: [1.0, 0.0]
UI İsmi: Mouth Height  |  Kod ID: cc embed morphs/embed_mouth3  |  Range: [1.0, 0.0]
UI İsmi: Mouth Depth  |  Kod ID: cc embed morphs/embed_mouth2  |  Range: [1.0, 0.0]

========== KATEGORİ: Actor/Head/Mouth/Philtrum ==========
UI İsmi: Philtrum Width  |  Kod ID: cc embed morphs/embed_mouth6  |  Range: [1.0, 0.0]
UI İsmi: Philtrum Tone  |  Kod ID: cc embed morphs/embed_mouth7  |  Range: [1.0, 0.0]

========== KATEGORİ: Actor/Head/Cheek ==========
UI İsmi: Cheek Bone Scale  |  Kod ID: cc embed morphs/embed_cheek1  |  Range: [1.0, 0.0]
